method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,95,9500,99.621,1040433,10664,837,1.3828,19.001,0.7131,-0.0332,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,96,9600,100.97,1052741,13256,948,1.349,18.987,0.7114,-0.0901,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,97,9700,102.316,1063319,11425,847,1.3452,18.866,0.7148,-0.1106,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,98,9800,103.735,1072543,10058,834,1.4189,19.016,0.7173,-0.0586,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,99,9900,105.104,1081864,10263,942,1.3699,18.965,0.7127,-0.1122,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,100,10000,106.546,1092297,11323,890,1.442,19.11,0.7211,-0.0435,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,101,10100,107.924,1102714,11358,941,1.3775,18.99,0.7205,-0.0895,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,102,10200,109.328,1112241,10429,902,1.4043,19.115,0.7187,-0.0632,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,103,10300,110.762,1121393,10114,962,1.4338,19.077,0.7209,-0.063,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,104,10400,112.267,1130600,10151,944,1.5046,19.168,0.7242,-0.0724,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
