method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,102,10200,182.326,962038,8053,830,2.6031,19.134,0.7205,-0.1481,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,103,10300,185.014,968910,7803,931,2.6881,19.155,0.7221,-0.133,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,104,10400,187.69,976027,8005,888,2.6761,19.3,0.7253,-0.132,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,105,10500,190.416,981007,5792,812,2.7265,19.416,0.727,-0.1289,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,106,10600,193.061,988660,8526,873,2.6449,19.182,0.7245,-0.2036,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,107,10700,195.854,995654,7888,894,2.7926,19.371,0.7294,-0.1369,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,108,10800,198.578,1003474,8679,859,2.7244,19.343,0.7271,-0.1353,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,109,10900,201.276,1010382,7791,883,2.6975,19.129,0.7278,-0.173,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,110,11000,204.085,1016255,6631,758,2.8093,19.319,0.7298,-0.1383,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,111,11100,206.951,1021687,6375,943,2.8655,19.375,0.7284,-0.1428,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,112,11200,209.679,1029079,8255,863,2.7285,19.343,0.7318,-0.1489,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,113,11300,212.464,1034525,6226,780,2.7852,19.152,0.7269,-0.1581,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
