method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,80,8000,76.011,885265,11963,862,1.2322,18.76,0.6984,-0.0258,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,81,8100,77.197,897155,12811,921,1.1856,18.717,0.6968,-0.1296,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,82,8200,78.428,908461,12094,788,1.2315,18.72,0.699,-0.0234,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,83,8300,79.63,919747,12151,865,1.202,18.842,0.703,-0.0439,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,84,8400,80.863,930330,11373,790,1.233,18.952,0.7051,-0.0223,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,85,8500,82.087,941552,12111,889,1.2239,18.826,0.6996,-0.1045,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,86,8600,83.332,951861,11115,806,1.2448,18.941,0.7027,-0.043,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,87,8700,84.574,964562,13557,856,1.2417,19.065,0.7098,-0.0234,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,88,8800,85.85,975844,12136,854,1.2761,18.938,0.7083,-0.1494,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,89,8900,87.12,986257,11347,934,1.2696,18.892,0.7102,-0.0672,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,90,9000,88.359,996387,10983,853,1.2392,18.938,0.7112,-0.0532,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,91,9100,89.646,1006953,11571,1005,1.2871,18.931,0.7088,-0.0988,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
